"Positions for CUSTACCS as of 12:24 PM ET, 11/03/2024","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Joint_Tenant ...052","","","","","","","","","","","","","","","",""
"Symbol","Description","Qty (Quantity)","Price","Price Chng % (Price Change %)","Price Chng $ (Price Change $)","Mkt Val (Market Value)","Day Chng % (Day Change %)","Day Chng $ (Day Change $)","Cost Basis","Gain % (Gain/Loss %)","Gain $ (Gain/Loss $)","Ratings","Reinvest?","Reinvest Capital Gains?","% of Acct (% of Account)","Security Type"
"AB","ALLIANCEBERNSTEIN HLD LP","200","$36.66","-1.05%","-$0.39","$7332.00","-1.05%","-$78.00","$6726.00","9.01%","$606.00","--","No","--","4.91%","Equity"
"AGCO","AGCO CORP DEL","105","$99.39","-0.45%","-$0.45","$10435.95","-0.45%","-$47.25","$10476.66","-0.39%","-$40.71","C","No","--","6.99%","Equity"
"AMD","ADVANCED MICRO DEVICE IN","166","$141.86","-1.53%","-$2.21","$23548.76","-1.53%","-$366.86","$4924.61","378.19%","$18624.15","F","No","--","15.77%","Equity"
"BSX","BOSTON SCIENTIFIC CORP","100","$83.62","-0.48%","-$0.4","$8362.00","-0.48%","-$40.00","$6712.79","24.57%","$1649.21","D","No","--","5.6%","Equity"
"CPAY","CORPAY INC","15","$329.81","0.03%","$0.09","$4947.15","0.03%","$1.35","$5120.4","-3.38%","-$173.25","C","No","--","3.31%","Equity"
"JPM","JPMORGAN CHASE & CO","60","$222.94","0.46%","$1.02","$13376.4","0.46%","$61.2","$11336.4","18%","$2040.00","A","No","--","8.96%","Equity"
"LRCX","LAM RESEARCH CORP CLASS EQUITY","20","$74.8","0.61%","$0.45","$1496.00","0.61%","$9.00","$1489.8","0.42%","$6.2","C","No","--","1%","Equity"
"NUE","NUCOR CORP","35","$143.56","1.21%","$1.72","$5024.6","1.21%","$60.2","$5282.38","-4.88%","-$257.78","D","No","--","3.36%","Equity"
"NVDA","NVIDIA CORP","201","$135.4","1.99%","$2.64","$27215.4","1.99%","$530.64","$3797.09","616.74%","$23418.31","B","No","--","18.22%","Equity"
"PSTG","PURE STORAGE INC CLASS A","375","$50.95","1.8%","$0.9","$19106.25","1.8%","$337.5","$13644.36","40.03%","$5461.89","B","No","--","12.79%","Equity"
"IWM","ISHARES RUSSELL 2000 ETF","10","$218.98","0.56%","$1.22","$2189.8","0.56%","$12.2","$2051.2","6.76%","$138.6","--","No","--","1.47%","ETFs & Closed End Funds"
"JEPI","JPMORGAN EQUITY PREMIUM INCOME ETF","140","$58.47","-0.37%","-$0.22","$8185.8","-0.37%","-$30.8","$7904.98","3.55%","$280.82","--","No","--","5.48%","ETFs & Closed End Funds"
"SPY","SPDR S&P 500 ETF @","10","$571.04","0.42%","$2.4","$5710.4","0.42%","$24.00","$5077.93","12.46%","$632.47","--","No","--","3.82%","ETFs & Closed End Funds"
"SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","11,000","$1.00","N/A","N/A","$11000.00","N/A","N/A","N/A","0%","$0.00","--","Yes","Yes","7.36%","Cash and Money Market"
"SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","11.29","$1.00","N/A","N/A","$11.29","N/A","N/A","N/A","0%","$0.00","--","Yes","Yes","0.01%","Cash and Money Market"
"Cash & Cash Investments","--","--","--","--","--","$1414.98","0%","$0.00","--","--","--","--","--","--","0.95%","Cash and Money Market"
"Account Total","--","--","--","--","--","$149356.78","0.32%","$473.18000000000000","$95555.89","54.82%","$52385.91","--","--","--","--","--"
